"","content","评论时段"
"8","有人问我思念到极致是什么感觉。我曾经发了句晚安给她，一晚上醒来六、七次看手机信息。就是那种可怕的朦朦胧胧的意识，梦里都梦到她好像回了我信息然后意识带我从梦境里挣扎出来立马去翻看手机。你看，这大概就是思念深入骨髓竟连梦境都不愿放过了吧。今天很冷，你现在怎么样呢？","2017-2019"
"31","喜欢了她七年给她以前唱的歌现在我们在一起","2017-2019"
"51","全书最直的人穿一身基佬紫[大哭]","2017-2019"
"52","江厌离道：“你要跟我说什么事？”魏无羡笑道：“没什么事呀。我就进来打个滚。”说着，真的在地上打了个滚，江厌离问道：“羡羡，你几岁呀？”魏无羡道：“三岁啦。”","2017-2019"
"53","蓝二哥哥醉酒时wifi问：“江澄如何？”皱眉：“哼。”魏无羡：“温宁如何。”冷淡：“呵。”魏无羡笑眯眯指了指自己：“这个如何？”蓝忘机：“我的。”“……”蓝忘机盯着他，一字一顿，清晰无比地道：“我的。”","2017-2019"
"54","全书死了那么多人，哪怕是晓星辰，也留下了几缕魂魄残存，但是，若是论灰飞烟灭，恐怕只有温情阿姐了吧。","2017-2019"
"55","“是！蓝曦臣，我这一生，杀父杀兄杀妻杀子杀师杀友，什么坏事没做过！”他倒吸了一口气，仿佛肺部被刺穿，“可我独独没有想过要害你……”心疼瑶妹QAQ","2017-2019"
"56","忘记了拥抱，忘记了微笑，可我依旧忘不了你","2017-2019"
"57","白天可以原谅所有人，但晚上不行???","2017-2019"
"58","直到后来看到他恋爱的样子才知道自己没有被他爱过","2017-2019"
"59","十年前，他的房间门上贴着潘玮柏的海报，所以我跟着他学会了潘玮柏的每首歌。如今，我的房间门上贴着Sunnee的海报，他却不会再来陪我听歌了……我要忘记我们曾那么那么好，却忍不住来听这首歌……哥哥再见啊","2017-2019"
"60","这首歌很难唱，sunnee气息控制的很好，低沉的地方像在诉说着故事，高潮的部分像在宣泄着年少时的懵懂。这个版本让我感觉到了一个少女回忆初恋的感觉","2017-2019"
"61","因为慢半拍，一开始动心的人是你，结果越陷越深的是我。因为慢半拍，所以你走了，我还爱着你。有人说，慢热是怕被辜负，因为每一次都太全情投入。所以，如果你终究要离开我，请不要来爱我。毕竟，就连忘记，我都学得很慢。","2017-2019"
"62","我爱他，只是因为他是最好的薛之谦。说好一辈子，我先爱为敬！老薛生日快乐","2017-2019"
"63","什么叫重蹈覆辙？就是数年后在陌生的城市陌生的街道我依然一眼就能认出你的背影而我却发现没有理由去追也不必追。","2017-2019"
"64","两位对音乐纯粹追求的音乐人的第一首合作作品。慢半拍的老古董，天涯里自会相逢。??","2017-2019"
"65","一向慢半拍我也能在你发歌的时候准确到达","2017-2019"
"66","32岁许嵩新专辑《老夫聊发少年狂》主打歌曲《老古董》率先上线，专辑以“老”为主题，收录了包含许嵩的职业《老医生》《老厨师》《老程序员》《老歌手》《老摄影师》，微博透露已久的择偶标准《老伴需要D》，玄学问题《老忘记微博密码》和最后一首《老铁们是我瞎编的》。","2017-2019"
"67","2009年我初一你发了《自定义》2010年我初二你发了《寻雾启事》2011年我初三你发了《苏格拉没有底》2012年我高一你发了《梦游计》2014年我高三你发了《不如吃茶去》2016年我大二你发了《青年晚报》2018年我毕业你发了《老古董》嵩哥你真的是陪伴我一路青春的人。生日快乐?","2017-2019"
"68","为了一件满意的艺术品，整天埋头制作，日渐沧桑，蓄起了长发胡须，甚至徘徊在被逼疯的边缘。经过多次失败、推倒重来，终于一举成名。功成名就之后，剪掉长发，刮掉胡须，换上白色礼服走进博物馆，亲手摔碎老古董。因为，自己就是“老古董”","2017-2019"
"69","老古董他曾受万人追捧老古董说失传之前道声珍重老古董他今年32岁了可他什么都不懂，甚至连专辑抬价都不懂十二年，小古董们也都长大了已经过了听热闹的年纪小古董们什么都不懂，独独懂你终有一天，我们也会和你一样成为老古董","2017-2019"
"70","“音乐太主观了，懂的人自然懂你，不懂的人，我也没有试图让别人懂，一知半解我觉得是最可怕的，最好就是不懂就完全不懂，懂的人懂就很舒服了。”——许嵩","2017-2019"
"71","看到有粉丝给我说，想我10万?，我不是专业歌手，但被这么好的你们爱着，真是太！幸！福啦！哈哈哈调音师真棒，仙友太好啦[可爱]","2017-2019"
"72","他不想粉丝老花钱他现在胖了他是射手保护协会会长他现在有着脱坑三招仙声大仙不闹好多节目他写小说，主角游戏ID不羡仙他会和仙友说好好学习他说十年后哪怕自己不直播了，仙友和朋友聊天时会发现，你当年也看大仙！他以前叫阿发，现在叫张大仙他一直在努力他是我们最好的张大仙！","2017-2019"
