,userid,commentid,username,content,timeStr,likedcount,ip,time,ishug,replycount
0,3291743001,5428603245,玛卡巴卡在阿巴阿巴,不行啊！这歌也太让人快乐了！洗澡的时候我直接扭成龙卷风！！！,2021/10/1,95696,,1.63309E+12,FALSE,1688
1,267627817,5427142964,皮崽-承蒙厚爱,这派对也太危险了，男孩子在外面玩一定要好好保护自己[惊恐],2021/9/29,68626,,1.6329E+12,FALSE,468
2,428956762,5419339232,保久伽壹,“右手托住你的心跳” 怎么……托?,2021/9/17,61605,,1.63181E+12,FALSE,2304
3,1984646294,5446242912,阿泽潮音,你说你大姨妈走了 让我晚上去你家 宝  守灵这活哥真干不了啊 ,2021/10/27,44294,,1.63531E+12,FALSE,629
4,287711061,5420069620,等X的新歌,托住你的心跳这句可太高情商了,2021/9/18,37328,,1.63194E+12,FALSE,221
0,47774029,9074483,胖了一整个盛夏,"开头金润吉的那几句简直好听炸！！！！！！！！！！
",2015/1/20,27461,,1.42172E+12,FALSE,134
1,67404460,128604071,小白不会很白,阿里郎这个名字起的俗，不然能火[大哭]是这样的吗,2016/3/12,18958,,1.45771E+12,FALSE,209
2,128843665,339992770,若凤求凰,有人问我思念到极致是什么感觉。 我曾经发了句晚安给她，一晚上醒来六、七次看手机信息。  就是那种可怕的朦朦胧胧的意识，梦里都梦到她好像回了我信息 然后意识带我从梦境里挣扎出来立马去翻看手机。你看，这大概就是思念深入骨髓 竟连梦境都不愿放过了吧。今天很冷，你现在怎么样呢？,2017/3/26,16670,,1.49054E+12,FALSE,322
3,122700987,135827338,你我皆凡人_,今天2016年03月30号。这首歌会火！,2016/3/30,13078,,1.45932E+12,FALSE,1603
4,4022472656,5627762154,圈钱公主,如果你刷到我 愿你嫁给爱情,2022/4/3,9039,,1.64892E+12,FALSE,312
0,474348590,5324462466,夏日入侵企画,"经常在夏天深夜出门散心。
平缓流淌的街灯和温暖的晚风，被熟悉的气味和环境唤醒回忆，很容易让人安静下来。
这首歌的概念起源于在东京台场遛弯，最后一句歌词写成于北京穿过五四大街面对北海的瞬间。
感谢音乐和互联网让我们天涯共此时。很想知道听到这首歌的各位，此刻正走在哪里呢",2021/6/5,19374,,1.62282E+12,FALSE,758
1,1338726532,5324547833,灰鸿啊,"乐队的第一部长篇「夏日黄昏三部曲」的终章。
讲完了一段感情从「挽回」到「告别」再到「释然」的三个故事。
最终也一个人去了约定要一起去看的花火大会。
啊，没什么了不起的，只是觉得好热。",2021/6/5,11944,,1.62282E+12,FALSE,266
2,75685933,5324532998,沐梓忻,摇滚人是燃着温柔之火的极端浪漫主义者,2021/6/5,9620,,1.62282E+12,FALSE,44
3,1831790043,5346915564,小蛇仙天天开心,分享欲就是赤裸裸的告白,2021/7/2,6360,,1.62517E+12,FALSE,158
4,542077732,5327159696,蛙蛙_7777,夏天的歌还是得交给夏企,2021/6/8,4986,,1.62312E+12,FALSE,31
0,80303269,3392540986,谢白点,"这个周末一起早起打扫卫生吧，我愿意洗床单，你只需要在旁边拆好你的快递，收拾干净后洗个香香的热水澡，然后趁着时间还早，追着晚风去吃一顿大餐。 

虽然已经度过了缠绵的热恋期，但我仍旧赞扬你是世界最美丽。",2020/7/26,8802,,1.59575E+12,FALSE,93
1,84242841,3392524168,小含含_,"三十而粒，你写世界正中。
在足够漫长的时光中解构出自己生活的艺术，拥有过锋利的漂亮，要温柔地和生活和解。想要热气腾腾的爱，在夏天傍晚，为爱再跌痛一次。
祝你在人生中一直拥有悠长假期，做春天的梦，吹夏天的风，收获秋天的果实，申请冬天的雪。很多世俗，不必烦恼，而生命一直是一条流动的河。",2020/7/26,8766,,1.59575E+12,FALSE,66
2,494841338,3394884358,少年柴柴,感觉她又和小女孩谈恋爱了。,2020/7/28,7657,,1.59591E+12,FALSE,364
3,80303269,3392562085,谢白点,上次粉丝说想和二十岁的陈粒谈恋爱，她说“师傅 我现在也还可以的。” 嗯 真的很可以,2020/7/26,6393,,1.59575E+12,FALSE,45
