,key,value
0,黑胶,113
1,私我,20
2,免费,43
3,七天,70
4,cpdd,21
5,桥牌,587
6,谎言,657
7,意思,347
8,不知道,765
9,假装,79
10,在乎,150
11,样子,220
12,难受,208
13,冷,3385
14,抽,1179
15,电子,980
16,烟,1436
17,瑞克,427
18,电,679
19,雪豹,761
20,失,299
21,联,274
22,摘不下,290
23,虚伪,319
24,假面,300
25,几句,334
26,胡言,260
27,奉,265
28,圣箴,237
29,尝,276
30,一口,284
31,血汗,252
32,香甜,257
33,钱,371
34,飘,655
35,进,956
36,双眼,837
37,模糊,547
38,做人,274
39,底线,268
40,瞻仰,1
41,新四大天王,20
42,天趴,1
43,理,191
44,远,2086
45,趴,23
46,靠近,1951
47,一点,2397
48,入土,4
49,大哭,830
50,fallin4u,169
51,大笑,592
52,玩意,185
53,dz,3
54,布莱克,1
55,格,2
56,雪,4729
57,悲,30
58,锐克,207
59,电流,25
60,泪,116
61,流泪,3123
62,抖,243
63,音,255
64,游戏,99
65,广告,25
66,而来,20
67,很好听,343
68,双肩,6
69,突起,1
70,难听,567
71,还行,138
72,西西,246
73,呕吐,89
74,流汗,49
75,狗屁,11
76,玩,252
77,意额,1
78,谢谢,265
79,开口,44
80,妹妹,41
81,贴,25
82,上来,33
83,感谢,99
84,capper,1451
85,快乐,332
86,源泉,2
87,呲牙,181
88,悦刻,44
89,cxk,1
90,顶针,62
91,泰裤,2318
92,辣,2216
93,一批,20
94,还不错,76
95,必要,185
96,跟风,214
97,黑,320
98,舔,145
99,狗,232
100,爱听,291
101,雾,32
102,这首歌,2546
103,真,4881
104,哭,1066
105,死,527
106,戳,46
107,集美们,9
108,听雪,112
109,件,150
110,事情,369
111,雪飘进双眼看不见你桥牌的谎言抒情吟唱,1
112,蛋仔,74
113,666,70
114,故事,295
115,结局,206
116,很重要,38
117,B站,8
118,寒,9
119,羽,1
120,胡桃版,1
121,一句话,104
122,想说,142
123,遮遮,1
124,布隆,1
125,看看,401
126,是不是,512
127,酷,140
128,女大学生,28
129,请,267
130,加,416
131,喜欢,4838
132,好奇怪,45
133,语气,15
134,不对,51
135,道歉,43
136,泰酷辣,368
137,记住,99
138,一说,28
139,天上,18
140,飞,52
141,wave,1
142,好多,192
143,哀伤,145
144,拿出,147
145,诞生,157
146,1996,140
147,阁下,236
148,应对,211
149,评价,218
150,distance,488
151,烟色,3
152,哈哈,1315
153,破,179
154,长,291
155,不难,6
156,讲,173
157,四,56
158,字,303
159,概括,5
160,毫无意义,7
161,emo,179
162,一整天,34
163,可惜,277
164,手机,190
165,失联,299
166,十级,15
167,说好听,4
168,好听,4305
169,个人,203
170,看法,22
171,罢,109
172,care,4
173,反正,134
174,活,190
175,算,272
176,呆,119
177,抄袭,633
178,07,4
179,初三,19
180,伤感,75
181,宝宝,307
182,超级,190
183,站,170
184,岔路口,1
185,好像,778
186,回不去了我希望,1
187,你好,157
188,希望,1243
189,心想事成,6
190,幸福,752
191,身边,398
192,接受,136
193,看不到,96
194,条,103
195,都会,337
196,心,765
197,碎,113
198,爱,3326
199,乖乖,43
200,小狗,158
201,前面,144
202,意外,35
203,拉,361
204,华语,201
205,乐坛,166
206,已死,9
207,恋爱,229
208,能不能,554
209,念,67
210,清楚,198
211,一坨,206
212,答辩,1278
213,多多,1499
214,瞌睡,26
215,举报,15
216,没了,65
217,换,229
218,种,38
219,说法,7
220,斯,1
221,认,17
222,晚安,241
223,喝醉,8
224,明白,214
225,感触,10
226,榜,94
227,曲,58
228,曲词,1
229,一半,45
230,好人,8
231,芝士雪豹一眼骆驼鉴定,1
232,瘤子,183
233,单曲,347
234,循环,703
235,奇,8
236,怪,133
237,肩膀,256
238,痒痒,1
239,感觉,1635
240,有点,391
241,赶工,1
242,完成,27
243,度,7
244,差,93
245,点,660
246,写,766
247,为啥,178
248,骂,485
249,凶,7
250,美,135
251,热,326
252,夏天,406
253,紫外线,1
254,照不透,1
255,鬼脸,87
256,半夜,35
257,区,333
258,整笑,1
259,不耐听,2
260,雪yue,37
261,鸦胶,1
262,挺,727
263,天别离,1244
264,便便,110
265,听过,11
266,吐,108
267,刚刚好,3
268,呃10w,1
269,高低,31
270,贵贱,16
271,10w,103
272,属实,9
