,key,value
0,不行,4
1,快乐,10
2,洗澡,2
3,直接,9
4,扭成,1
5,龙卷风,1
6,派对,1
7,危险,10
8,男孩子,9
9,外面,2
10,玩一定要,1
11,保护,4
12,惊恐,1
13,右手,1
14,托住,2
15,心跳,3
16,托,1
17,大姨妈,1
18,晚上,5
19,家宝,1
20,守灵,1
21,活,7
22,干,6
23,句,5
24,高,2
25,情商,1
26,刷,4
27,嫁给,4
28,爱情,18
29,经常,2
30,夏天深夜,1
31,出门,3
32,散心,1
33,平缓,1
34,流淌,1
35,街灯,1
36,温暖,13
37,晚风,4
38,熟悉,2
39,气味,1
40,环境,4
41,唤醒,2
42,回忆,5
43,很容易,2
44,安静,2
45,下来,1
46,概念,1
47,起源于,1
48,东京,2
49,台场,1
50,遛弯,1
51,写成,2
52,北京,2
53,穿过,5
54,五四大街,1
55,面对,3
56,北海,2
57,瞬间,6
58,感谢,13
59,互联网,1
60,天涯共,1
61,想知道,2
62,此刻,1
63,正,6
64,乐队,2
65,第一部,1
66,长篇,1
67,夏日,2
68,黄昏,1
69,三部曲,2
70,终章,1
71,讲完,2
72,一段,10
73,感情,9
74,挽,1
75,回到,4
76,告别,8
77,释然,2
78,三个故事,1
79,最终,3
80,一个人,20
81,约定,4
82,一起去,6
83,花火,1
84,大会,1
85,热,2
86,摇滚,1
87,燃,1
88,温柔,16
89,火,7
90,极端,2
91,浪漫主义者,1
92,分享,6
93,欲,2
94,赤裸裸,1
95,告白,3
96,夏天,13
97,交给,2
98,夏企,1
99,周末,1
100,早起,2
101,打扫,1
102,卫生,2
103,愿意,4
104,洗,3
105,床单,1
106,需要,6
107,旁边,2
108,拆,2
109,快递,1
110,收拾,1
111,干净,5
112,香香,1
113,热水澡,1
114,时间,15
115,早,2
116,追,4
117,一顿,2
118,大餐,1
119,度过,2
120,缠绵,2
121,热恋期,1
122,赞扬,1
123,世界,29
124,美丽,2
125,三十而粒,1
126,写,16
127,正中,1
128,足够,4
129,漫长,3
130,时光,6
131,解构,1
132,生活,19
133,艺术,3
134,拥有,10
135,锋利,1
136,漂亮,2
137,和解,2
138,想要,16
139,热气腾腾,1
140,爱,78
141,夏天傍晚,1
142,跌痛,1
143,人生中,1
144,悠长,1
145,假期,1
146,春天,1
147,梦,6
148,吹,8
149,风,11
150,收获,2
151,秋天,1
152,果实,1
153,申请,1
154,冬天,3
155,雪,2
156,世俗,1
157,不必,1
158,烦恼,3
159,生命,7
160,一条,4
161,流动,1
162,河,1
163,感觉,25
164,小女孩,1
165,谈恋爱,6
166,上次,1
167,粉丝,5
168,二十岁,1
169,陈粒,1
170,她说,1
171,师傅,1
172,高考,15
173,成绩,8
174,估,1
175,570,1
176,600,1
177,波,1
178,波爷,1
179,之中,4
180,最远,2
181,地方,4
182,平安,3
183,回家,8
184,妈妈,20
185,身旁,2
186,父亲,3
187,烈士,1
188,重启,1
189,警号,1
190,缉毒警,1
191,任务,1
192,抓人,1
193,都是,44
194,这行,1
195,总,18
196,隐姓,1
197,埋名,1
198,几年,5
199,家,6
200,考生,2
201,大捷,1
202,喜欢,90
203,远方,3
204,演唱会,6
205,现场,6
206,版,4
207,无数次,2
208,考试,4
209,崩溃,5
210,都会,20
