,key,value
0,感觉,714
1,丁真,284
2,为你,34
3,掉眼泪,13
4,真,2000
5,喜欢,2031
6,Capper,108
7,嗓音,9
8,辨识度,1
9,换,91
10,简单,39
11,事情,199
12,路田鼠,1
13,阿伟,1
14,猴猴,1
15,休息,5
16,好不好,21
17,庆,1
18,君余年,1
19,送,97
20,一张,60
21,会员,75
22,礼品卡,24
23,快,197
24,看看,130
25,TA,45
26,祝福,80
27,领取,40
28,吧httpsmusic163comprimemgiftreceivepxLAmhOVkuyibS8vTCBDnoGEvGCEniCpKNRkAbxCd5gw00xidaPRxphlVrWvVch3YluAhO5R89QDHGpzCwhCw6chmrUO2Fmyuu2fAHgGgdeIL9hFS5NUfjTmTeHZ1Q,1
29,艹艹艹,1
30,冷,1289
31,抽,837
32,电子,722
33,烟,992
34,瑞克,304
35,电,496
36,雪豹,572
37,失,183
38,联,177
39,摘不下,187
40,虚伪,206
41,假面,195
42,几句,202
43,胡言,166
44,奉,162
45,圣箴,147
46,尝,169
47,一口,175
48,血汗,158
49,香甜,162
50,钱,204
51,飘,262
52,进,391
53,双眼,305
54,模糊,290
55,做人,176
56,底线,169
57,答辩,1026
58,绝,28
59,泰裤,1931
60,辣,1826
61,只能,171
62,萝卜,13
63,青菜,6
64,各有所,6
65,爱,919
66,蛋仔,29
67,叹气,5
68,每个人,97
69,品味,119
70,不同,38
71,必要,125
72,区,188
73,存在感,27
74,真是,158
75,搞笑,20
76,大连,5
77,现场,100
78,版,45
79,激动,6
80,好听,1753
81,很不错,21
82,黑胶,39
83,七天,25
84,动态,80
85,自取,32
86,这辈子,203
87,写,419
88,沈阳,77
89,妈,87
90,抄袭,366
91,听歌,174
92,伤人,15
93,主页,24
94,五天,3
95,VIP,22
96,要领,1
97,领,36
98,不知道,306
99,不得不,13
100,这首歌,1182
101,听众,25
102,属于,84
103,嘻哈鄙视链,1
104,最低端,1
105,听不到,44
106,流泪,458
107,想来,15
108,嘴上,19
109,爱过,14
110,承认,71
111,阁下,195
112,雪,1250
113,非常,219
114,打灰阁下,1
115,应对,169
116,热,132
117,天工地,1
118,灰员,2
119,领导,1
120,难,82
121,灰飘,2
122,睁眼,2
123,黑暗,13
124,人间,23
125,拖着,3
126,疲惫,13
127,身体,26
128,不知,29
129,曙光,1
130,何时能,1
131,出现,66
132,努力,83
133,目的,5
134,始终,28
135,十年,17
136,寒窗,1
137,钱土木,1
138,毕业,86
139,唯一,51
140,意义,37
141,催生,1
142,试图,12
143,藏起,1
144,情绪,105
145,忘,78
146,眼睛,64
147,会说话,5
148,人生,71
149,指导,2
150,生活,189
151,真谛,3
152,不懂,171
153,需要,84
154,半夜,8
155,emo,55
156,BGM,8
157,高,61
158,高级,12
159,关系,95
160,戳,13
161,心,208
162,窝子,3
163,祈求,2
164,夜斗,1
165,收下,1
166,什么叫,13
167,桥牌,235
168,谎言,228
169,玩,108
170,表示,10
171,理解,113
172,就这样,31
173,鬼畜,8
174,吐,65
175,词,143
176,清晰,51
177,开心,285
178,沉默,30
179,好多,69
180,事,109
181,在我心里,16
182,结解,1
183,开,161
184,忘不掉,18
185,黑粉,5
186,旋律,310
187,赞,16
188,惶恐,159
189,男高,6
190,要不要,10
191,聊天,83
192,锐克,168
193,答,10
194,变,82
195,生日,20
196,过去,73
197,挺,423
198,为啥,87
199,好多人,10
200,喷,224
201,备受,1
202,争议,7
203,一首歌,84
204,51,2
205,多多,503
206,捂脸,70
207,4月,4
208,许,21
209,5月,8
210,实现,22
211,好好听多多大笑多多大笑,1
212,臭,9
213,弟弟,18
214,无所谓,72
215,见过,41
216,流星,85
217,坠落,83
218,地面,98
219,恋爱,79
220,尽头,22
221,诋毁,38
222,挺不错,13
223,有点,146
224,哈人,2
225,评价,146
226,停止,14
227,期待,51
228,睡觉,72
229,vip,28
230,女生,89
231,认为,72
232,敷衍,34
233,三个字,7
234,不听,105
235,浑身,8
236,难受,82
237,distance,329
238,一根,67
239,鬼,26
240,多久,33
241,10万,20
242,那年我心比天高,2
243,重要,57
244,过于,3
245,挺好,58
246,可惜,98
247,咬,61
248,字,126
249,不行,66
250,有幸,13
251,晚一点,2
252,没关系,46
253,诞生,115
254,1996,115
255,梦想,29
256,说唱,328
257,领袖,18
258,中非,13
259,混血,22
260,初中,98
261,黄毛,51
262,高中,139
263,体育生大学,7
264,rapper大二当,13
265,两年,72
266,兵,28
267,回来,123
268,教官,83
269,毕业后,18
270,山东,17
271,淄博,14
272,一家,27
273,老兵,78
274,烧烤,73
275,眼神,33
276,纯真,48
277,目不识,16
278,丁,13
279,梳,64
280,中分,13
281,打篮球,15
282,没事,36
283,玩玩,16
284,原神,37
285,时不时,17
286,句,57
287,想听,30
288,111,4
289,拉坨,1
290,驼峰,68
291,不错,143
292,昂,8
293,想说,56
294,笑,170
295,哭,256
296,Ma,1
297,煩装,1
298,抄,154
299,来人,2
300,科普,68
301,流感,62
302,后面,66
303,吉他拨弦歌,1
304,下去,54
305,救救,5
306,下雪,105
307,打伞,2
308,文艺,6
309,演出,6
310,掏出雪,3
311,浪漫主义,271
312,再来,18
313,阁,13
314,请,91
315,XX,3
316,小若,1
317,中考,60
318,加油,164
319,谢谢,88
320,看不见,82
321,我我,40
322,选,26
323,朋友,179
324,恋人,53
325,四大,37
326,天王,37
327,来来,3
328,本来,72
329,副歌,36
330,部分,79
331,亲吻,29
332,记忆,57
333,模模糊糊,4
334,拼,16
335,完整,16
336,故事,112
337,上课,21
338,发呆,15
339,这个词,11
340,网络,71
341,骂,319
342,很厉害,7
343,很喜欢,166
344,几秒,2
345,放,230
346,便便鸽,1
347,指,19
348,罗言,207
349,华语,138
350,新四大天,1
351,呲牙,82
352,跟着心,1
353,塌下来,2
354,肩膀,190
355,顶着,5
356,路,67
357,失联,237
358,愿意,45
359,赌,10
360,一把,19
361,后悔,40
362,音乐节,18
363,氛围,12
364,超,109
365,相互,15
366,再一起,3
367,镜子,30
368,倾诉,35
369,心事,63
370,现实,73
371,讽刺,51
372,考试,52
373,编制,22
374,拆封,22
375,装进,23
376,盒子,41
377,物质,20
378,炽热,32
379,肺,25
380,冰冷,66
381,不敢,84
382,认不得,18
383,几个,58
384,总是,153
385,raper,16
386,代,10
387,真诚,79
388,烂,130
389,锐克五,3
390,111881,1
391,说实话认识,1
392,久,75
393,capper,341
394,主要,10
395,MumbleRap,3
396,专辑,39
397,最少,3
398,这种,343
399,大众,31
400,圈,81
401,粉,22
402,赚钱,4
403,都是,324
404,人之常情饭圈张口闭口capper雪,1
405,很正常,9
406,拉,210
407,踩,22
408,唱腔,33
409,控制,11
410,言论,5
411,贬低,7
412,展现,6
413,优越感,30
414,吵架,17
415,欣赏,89
416,屏蔽,11
417,继续,42
418,做自己,25
419,憨笑,85
420,抽根dzy可悦刻,1
421,硬币,21
422,第三面,15
423,想要,112
424,答案,68
425,好想,76
426,最喜欢,45
427,人和,22
428,嬉戏,3
429,打闹,5
430,体验,10
431,才是,192
432,解药,8
433,自由,86
434,人身攻击,10
435,悦刻,38
436,旁边,19
437,就是为了,4
438,一眼,32
439,黑椒黑椒,1
440,再见了,4
441,老友,3
442,希望,361
443,一生,44
444,平安,25
445,幸福,258
446,土,36
447,饭圈,93
448,一辈子,88
449,合唱,45
450,周杰伦,45
451,类比,1
452,发音,26
453,清楚,78
454,懂,161
455,城市,9
456,死,120
457,两手,87
458,指向,87
459,中间,258
460,滑,103
461,神奇,88
462,一幕,86
463,hhhn,1
464,随意,20
465,评判,8
466,受众,19
