,key,value
0,不行,53
1,快乐,119
2,洗澡,15
3,直接,41
4,扭成,1
5,龙卷风,1
6,派对,2
7,危险,27
8,男孩子,54
9,外面,29
10,玩一定要,1
11,保护,36
12,惊恐,48
13,右手,11
14,托住,2
15,心跳,17
16,托,2
17,大姨妈,2
18,晚上,95
19,家宝,1
20,守灵,1
21,活,83
22,真,845
23,干,52
24,句,94
25,高,55
26,情商,2
27,开头,31
28,金润吉,1
29,几句,19
30,简直,61
31,好听,244
32,炸,21
33,阿里郎,1
34,名字,146
35,俗,11
36,然,36
37,火,100
38,大哭,512
39,思念,38
40,极致,12
41,感觉我,3
42,晚安,80
43,一晚上,13
44,醒来,31
45,六七次,1
46,手机,158
47,信息,51
48,那种,112
49,可怕,25
50,朦朦胧胧,6
51,意识,16
52,梦,100
53,梦到,18
54,梦境,16
55,挣扎,25
56,立马,18
57,翻看,11
58,大概,103
59,深入,7
60,骨髓,8
61,竟,31
62,不愿,28
63,放过了吧,4
64,冷,35
65,2016年03月30号,1
66,这首歌,1216
67,刷,42
68,嫁给,31
69,爱情,246
70,经常,60
71,夏天深夜,1
72,出门,22
73,散心,1
74,平缓,2
75,流淌,7
76,街灯,1
77,温暖,90
78,晚风,11
79,熟悉,37
80,气味,5
81,环境,14
82,唤醒,12
83,回忆,124
84,很容易,12
85,安静,54
86,下来,58
87,概念,6
88,起源于,2
89,东京,5
90,台场,1
91,遛弯,1
92,写成,8
93,北京,55
94,穿过,30
95,五四大街,1
96,面对,45
97,北海,4
98,瞬间,58
99,感谢,189
100,互联网,1
101,天涯共,1
102,想知道,11
103,此刻,19
104,正,45
105,乐队,25
106,第一部,6
107,长篇,1
108,夏日,17
109,黄昏,24
110,三部曲,9
111,终章,1
112,讲完,5
113,一段,91
114,感情,180
115,挽,5
116,回到,55
117,告别,35
118,释然,5
119,三个故事,1
120,最终,47
121,一个人,529
122,约定,9
123,一起去,24
124,花火,2
125,大会,2
126,热,34
127,摇滚,27
128,燃,10
129,温柔,193
130,极端,4
131,浪漫主义者,1
132,分享,77
133,欲,18
134,赤裸裸,3
135,告白,40
136,夏天,99
137,交给,14
138,夏企,1
139,周末,8
140,早起,7
141,打扫,2
142,卫生,3
143,愿意,103
144,洗,25
145,床单,1
146,需要,76
147,旁边,47
148,拆,15
149,快递,6
150,收拾,13
151,干净,44
152,香香,2
153,热水澡,1
154,时间,250
155,早,38
156,追,91
157,一顿,13
158,大餐,1
159,度过,21
160,缠绵,10
161,热恋期,2
162,赞扬,2
163,世界,189
164,美丽,40
165,三十而粒,1
166,写,318
167,正中,2
168,足够,35
169,漫长,24
170,时光,97
171,解构,1
172,生活,299
173,艺术,19
174,拥有,75
175,锋利,2
176,漂亮,73
177,和解,3
178,想要,164
179,热气腾腾,2
180,爱,901
181,夏天傍晚,1
182,跌痛,1
183,人生中,6
184,悠长,3
185,假期,6
186,春天,24
187,吹,45
188,风,111
189,收获,15
190,秋天,20
191,果实,5
192,申请,5
193,冬天,57
194,雪,21
195,世俗,11
196,不必,29
197,烦恼,10
198,生命,95
199,一条,50
200,流动,1
201,河,6
202,感觉,406
203,小女孩,11
204,谈恋爱,49
205,上次,12
206,粉丝,79
207,二十岁,16
208,陈粒,32
209,她说,78
210,师傅,18
211,高考,130
212,成绩,28
213,估,1
214,570,1
215,600,1
216,波,4
217,波爷,1
218,之中,18
219,最远,2
220,地方,138
221,平安,19
222,回家,119
223,妈妈,144
224,身旁,18
225,父亲,43
226,烈士,2
227,重启,2
228,警号,1
229,缉毒警,1
230,任务,5
231,抓人,2
232,都是,575
233,这行,3
234,总,236
235,隐姓,1
236,埋名,2
237,几年,39
238,家,113
239,考生,11
240,大捷,1
241,喜欢,1676
242,远方,32
243,演唱会,65
244,现场,56
245,版,49
246,无数次,20
247,考试,25
248,崩溃,26
249,都会,194
250,翻出,1
251,视频,36
252,再听,17
253,一遍,52
254,想着,34
255,一定要,82
256,坚持,116
257,下去,64
258,昨天,75
259,重新,63
260,哭,368
261,冥冥,5
262,自有,4
263,天意,3
264,发布,16
265,而我,35
266,这样的人,13
267,正在,42
268,听歌,100
269,那位,13
270,没错,22
271,绝对,25
272,出息,7
273,铃声,14
274,下载,39
275,请,203
276,发送,5
277,短信,28
278,168xxxxxx,1
279,当年,116
280,坐,169
281,学校,84
282,围墙,3
283,老牛,1
284,逼,23
285,墙,7
286,塌,5
287,该死,5
288,回来,168
289,香水,9
290,有毒,7
291,不怕不怕,1
292,当时,189
293,神曲,9
294,那年,89
295,西安,24
296,武汉,18
297,火车,49
298,上面,17
299,遇到,138
300,漯河,1
301,女生,150
302,身上,54
303,女孩,169
304,MP3,9
305,还在,97
306,肩膀,19
307,睡着,26
308,联系,86
309,方式,50
310,说出口,1
311,样子,144
312,美,79
313,马天宇,3
314,记忆,74
315,古早,1
316,跳,25
317,古剑奇谭了,1
318,中间,32
319,这么多年,30
320,七年,27
321,以前,184
322,在一起,277
323,一首,217
324,童话,11
325,早恋,7
326,老歌,27
327,就会,125
328,好多,63
329,同龄人,1
330,一群,27
331,90,7
332,初,11
333,小伙伴,20
334,怀念,66
335,那些年,8
336,过往,17
337,回不去,31
338,有些人,42
339,注定,29
340,人生,161
341,过客,11
342,十年前,22
343,小学生,6
344,旋律,80
345,十年后,18
346,趴,19
347,桌上,9
348,流泪,288
349,很喜欢,93
350,也许,116
351,懂,84
352,天空,29
353,星星,93
354,亮,27
355,滋味,14
356,侯万军,2
357,发誓,14
358,这辈子,54
359,娶,66
360,郝嘉璐,1
361,一点一点,6
362,努力,233
363,想和你,38
364,很久,95
365,好冷下意识,1
366,掏出,3
367,穿,55
368,点,168
369,反应,15
370,过来,49
371,身份,16
372,相信,125
373,妓院,1
374,处女,2
375,真情,8
376,未成年,3
377,故事,266
378,爹,7
379,长,154
380,两个,95
381,备胎,44
382,那个女孩,13
383,伤心,24
384,决定,63
385,追到,16
386,居然,51
387,还能,63
388,欢乐,4
389,总结,6
390,醉,30
391,名,60
392,应该,178
393,有种,21
394,淡淡,15
395,韭菜,1
396,盒子,13
397,香,10
398,欢快,7
399,薛之谦,60
400,专辑,130
401,买啦,1
402,网上,10
403,免费,10
404,听买,1
405,意义,64
406,许嵩,107
407,新,118
408,平台,9
409,实体,7
410,唱片,8
411,不买,2
412,搞,28
413,电视,20
414,销售,1
415,节目,31
416,推销,1
417,海蝶音乐,1
418,特,24
419,招,4
420,惹,8
421,签,8
422,俩,28
423,败家,1
424,玩意儿,5
425,写歌,23
426,逗比,13
427,做生意,4
428,开店,2
429,帅,52
430,Stayhere,1
431,意外方圆,1
432,几里一半,1
433,认真,100
434,一半,39
435,黄色,8
436,枫叶,2
437,想起你,2
438,遇见,136
439,甘愿,4
440,绅士,3
441,演员,26
442,深深,21
443,爱过,55
444,丑八怪,3
445,世上,28
446,几个,67
447,就好,73
448,敷衍,20
449,成,192
450,女人,55
451,下雨,22
452,小孩,31
453,梦想,119
454,歌手,255
455,快,146
456,火起来,2
457,唱歌,172
458,红,100
459,流感,7
460,全书,2
461,直,18
462,一身,30
463,基佬,4
464,紫,3
465,江厌,1
466,道,46
467,事,185
468,魏无羡笑道,1
469,进来,20
470,滚,17
471,说着,16
472,地上,17
473,滚江,1
474,厌离,1
475,问道,4
476,羡羡,1
477,几岁,3
478,魏无,1
479,羡道,1
480,三岁,5
481,蓝二,1
482,哥哥,65
483,醉酒,3
484,wifi,6
485,江澄,2
486,皱眉,26
487,魏无羡温宁,2
488,冷淡,11
489,魏无羡,9
490,笑眯眯,3
491,指,26
492,蓝忘机,8
493,盯着,15
494,一字,5
495,清晰,22
496,无比,11
497,地道,3
498,死,121
499,那么多,67
500,怕,175
501,晓星辰,1
502,留下,55
503,几缕,2
504,魂魄,4
505,残存,1
506,论灰飞烟灭,1
507,恐怕,5
508,温情,2
509,阿姐,2
510,蓝曦臣,1
511,这一生,18
512,杀父,1
513,杀兄杀妻,1
514,杀子杀师杀友,1
515,坏事,4
516,倒,34
517,吸,14
518,一口气,17
519,仿佛,43
520,肺部,1
521,刺穿,1
522,独独,5
523,想过,33
524,要害,3
525,心疼,48
526,瑶妹QAQ,1
527,忘记,83
528,拥抱,40
529,微笑,53
530,依旧,67
531,忘不了你,1
532,白天,20
533,原谅,30
534,所有人,57
535,恋爱,101
536,房间,34
537,门上,2
538,贴,11
539,潘玮柏,17
540,海报,7
541,跟着,31
542,学会,46
543,如今,100
544,Sunnee,1
545,再来,22
546,陪,200
547,忍不住,32
548,再见,82
549,很难,32
550,sunnee,2
551,气息,19
552,控制,17
553,很好,107
554,低沉,7
555,诉说,14
556,高潮,18
557,部分,34
558,宣泄,3
559,年少时,8
560,懵懂,10
561,版本,81
562,感觉到,17
563,少女,33
564,初恋,47
565,慢半,1
566,拍,51
567,一开始,25
568,动心,9
569,越陷越深,2
570,慢半拍,2
571,你走,8
572,爱着,42
573,慢热,5
574,辜负,28
575,每一次,11
576,全,98
577,情,34
578,投入,10
579,终究,44
580,离开,159
581,毕竟,44
582,学得,2
583,慢,26
584,最好,142
585,说好,38
586,一辈子,98
587,先,93
588,敬老,1
589,薛生日快乐,1
590,什么叫,5
591,重蹈覆辙,7
592,数年,4
593,陌生,34
594,城市,96
595,街道,7
596,依然,84
597,一眼,47
598,就能,36
599,认出,4
600,背影,15
601,理由,37
602,两位,9
603,纯粹,19
604,追求,37
605,音乐人,35
606,第一首,17
607,合作,55
608,作品,89
609,老,157
610,古董,8
611,天涯,15
612,自会,1
613,相逢,5
614,一向,3
615,半,22
616,发歌,11
617,准确,4
618,到达,7
619,32岁,5
620,老夫,6
621,聊,41
622,少年,126
623,狂,9
624,主打,5
625,歌曲,177
626,率先,1
627,上线,39
628,为主题,1
629,收录,7
630,包含,13
631,职业,10
632,医生,24
633,厨师,5
634,程序员,2
635,摄影师,5
636,微博,77
637,透露,3
638,久,87
639,择偶,2
640,标准,10
641,老伴,12
642,玄学,1
643,问题,46
644,密码,10
645,铁们,2
646,瞎编,1
647,2009年,5
648,初一,10
649,自定义,3
650,2010年,6
651,初二,19
652,寻,19
653,雾,6
654,启事,3
655,2011年,1
656,初三,23
657,苏格拉,2
658,底,12
659,2012年,5
660,高一,31
661,梦游计,2
662,2014年,10
663,高三,75
664,茶,23
665,2016年,5
666,二,45
667,青年,34
668,晚报,1
669,2018年,15
670,毕业,105
671,老古,1
672,董嵩哥,1
673,陪伴,73
674,路,105
675,青春,204
676,生日快乐,23
677,一件,49
678,满意,20
679,艺术品,1
680,整天,18
681,埋头,1
682,制作,45
683,日渐,2
684,沧桑,7
685,蓄,1
686,长发,18
687,胡须,2
688,徘徊,5
689,疯,7
690,边缘,3
691,多次,9
692,失败,26
693,推倒,2
694,重来,7
695,一举成名功成名就,1
696,之后,168
697,剪掉,5
698,刮掉,1
699,换上,5
700,白色,11
701,礼服,2
702,走进,21
703,博物馆,1
704,亲手,14
705,摔,11
706,碎,13
707,受,32
708,万人,6
709,追捧,2
710,失传,1
711,之前,65
712,道声珍,1
713,重老,1
714,今年,97
715,不懂,56
716,连专辑,1
717,抬价,1
718,十二年,3
719,古董们,2
720,长大,100
721,热闹,13
722,年纪,59
723,终,47
724,成为,137
725,主观,5
726,自然,24
727,试图,5
728,一知半解,1
729,完全,46
730,很舒服,15
731,10万,4
732,专业,26
733,真是,100
734,太幸福,4
735,调音师,6
736,真棒,4
737,仙友,5
738,太好啦可爱,1
739,花钱,6
740,胖,17
741,射手,1
742,协会,1
743,会长,4
744,有着,23
745,脱坑,1
746,三招仙声,1
747,大仙,5
748,闹,25
749,小说,23
750,主角,15
751,游戏,40
752,ID,10
753,羡仙,1
754,学习,48
755,直播,29
756,朋友,270
757,聊天,72
758,阿发,1
759,张大仙,3
760,王者,16
761,荣耀,12
