,key,value
0,有没有,95
1,散兵,1
2,流浪者,1
3,跳,39
4,涩,2
5,优拉跳舞,1
6,画面,41
7,18,15
8,挺,154
9,过去,341
10,怪,73
11,时间,486
12,适合,125
13,合伙人,2
14,真心,744
15,男朋友,959
16,dd,612
17,大家好,4
18,宝贝,49
19,7月9号,1
20,过生日,22
21,征集,4
22,各地,6
23,祝福,93
24,惊喜,38
25,麻烦,28
26,这种,163
27,格式,11
28,xx,8
29,省,12
30,张芮铭,1
31,生日快乐,44
32,回复,31
33,求,66
34,帮个忙,4
35,谢谢,149
36,希望,795
37,收到,36
38,求求求,2
39,h3r3,1
40,好听,915
41,左手,115
42,右手,116
43,大拇指,210
44,划,108
45,放,408
46,原来,319
47,第一次,372
48,牛爷爷,1
49,胡英俊,1
50,跳舞,20
51,视频,67
52,危险,10
53,派对,3
54,满,78
55,脑子,63
56,都是,623
57,两个,91
58,3d,2
59,模型,2
60,互,32
61,关,39
62,重要,122
63,事,252
64,三遍,2
65,早安,14
66,小旭多多比耶,1
67,血液,1
68,相,29
69,融,4
70,永存,4
71,寒冬,4
72,收藏,62
73,下载,52
74,有一个人,18
75,给我,84
76,点赞,21
77,回来,441
78,当做,14
79,我以为,48
80,活,141
81,回忆,428
82,身边,208
83,出现,152
84,新,120
85,只有我,50
86,听歌,426
87,这个世界,74
88,追,68
89,千辛万苦,2
90,领情,2
91,为你,67
92,句,100
93,愿意,122
94,天气,24
95,忽冷忽热,23
96,关系,106
97,好说,3
98,世界,232
99,痕迹,19
100,总,333
101,顺其自然,17
102,真,1859
103,里面,105
104,我的无奈有我的不舍我的不甘,1
105,懂,145
106,破碎,47
107,失去,211
108,相互,32
109,难过,247
110,答案,115
111,写在,2
112,态度,34
113,下辈子,39
114,改名,5
115,好找,1
116,点,217
117,记,65
118,跨年,9
119,那天,172
120,127点,1
121,电话,38
122,2月22,1
123,小学生,10
124,小公主,4
125,老婆,32
126,大人,17
127,开心,390
128,好久,198
129,今年,146
130,生日,88
131,还没有,34
132,陪,265
133,冷漠,73
134,五月,24
135,被励,1
136,志我,1
137,就这样,75
138,平静,42
139,接受,70
140,失败,49
141,好多,138
142,凌晨三点半,1
143,头顶,5
144,灯光,6
145,窗外,27
146,吹,98
147,进来,16
148,风,157
149,冷,39
150,咖啡,7
151,喝,82
152,此刻,25
153,记住,39
154,就好,142
155,生活,493
156,向前,10
157,大不,2
158,下次,57
159,重头,1
160,再来,42
161,张澍,1
162,拥有,121
163,一整个,2
164,盛夏,10
165,只有你,9
166,那么多,75
167,倾诉,10
168,倒,27
169,垃圾,14
170,对象,50
171,微信,39
172,聊天,90
173,主动,86
174,死掉,4
175,遇到,302
176,只能,200
177,一个人,582
178,消化,11
179,缠,2
180,粘着,4
181,告诉,101
182,干,54
183,难缠麻烦,1
184,起码,16
185,恨,81
186,夏天,280
187,愿望,37
188,成为,176
189,夏日,15
190,意外,36
191,嘴,39
192,园区,1
193,向外,1
194,街灯,2
195,夜景,1
196,夜晚,71
197,凉意,1
198,同事,13
199,走来问,1
200,干嘛,34
201,站会,1
202,这份,24
203,有点,206
204,落寞,3
205,独自,21
206,享受,43
207,心情,79
208,朋友,342
209,一点,208
210,喜欢,2092
211,机会,96
212,劝,23
213,520,24
214,复合吧前任,1
215,不敢对她说,1
216,好想,225
217,爱,1701
218,你好,104
219,恋爱,137
220,钟情,27
221,星星,109
222,亲亲,164
223,睁开,5
224,眼,34
225,看见,101
226,正,31
227,穿林,1
228,为名,1
229,澍,1
230,强,91
231,美好,234
232,热烈,23
233,前奏,164
234,还以为,35
235,滚动,6
236,播放,70
237,平克弗洛伊德,2
238,听得,36
239,心醉,1
240,初二,40
241,陈粒,14
242,二,69
243,现场,119
244,代入,13
245,春夏,10
246,更温柔,1
247,心情不好,11
248,单曲,127
249,循环,223
250,温柔,179
251,发生,59
252,相信,122
253,任其所想,1
254,痛,102
255,周,4
256,爱心,463
257,更好,99
258,见,247
259,女朋友,88
260,午后,12
261,穿着,15
262,灰颜色,1
263,水,52
264,洗,45
265,微微,10
266,褪色,3
267,情侣衫,1
268,下楼,1
269,去取,1
270,快递,5
271,房间,15
272,空调,9
273,凉木,1
274,地板,1
275,反射,1
276,白纱帘,1
277,过滤,1
278,一遍,144
279,阳光,69
280,脸,51
281,埋,12
282,肩窝,1
283,深深地深深,1
284,闻,7
285,味道,54
286,太阳,50
287,落山,3
288,浴室,2
289,滴滴答,1
290,答响,1
291,升腾,1
292,眼前,37
293,雾气,4
294,卧室,2
295,换,110
296,被单,2
297,枕套,1
298,就像,207
299,浪漫,68
300,春日,2
301,春风,13
302,飘,15
303,过来,90
304,一阵,12
305,花香,7
306,距离,84
307,高考,207
308,24天,11
309,能够,124
310,上岸,95
311,加油,290
312,焦虑路,1
313,崎岖,1
314,灯,16
315,亮,25
316,先,110
317,学会,68
318,生气,48
319,气,18
320,死人,3
321,游戏,80
322,气死,2
323,本科,10
324,仅仅,16
325,读,67
326,标题,1
327,思绪,32
328,飘出,1
329,生死,9
330,界线,1
331,另一边,4
332,亲人,18
333,眼泪,122
334,清洗,1
335,爸爸,94
336,身体,39
337,燃起,2
338,烟火,23
339,目光,12
340,引向,1
341,最远,2
342,地方,150
343,远,62
344,隔着,11
345,死生,2
346,契阔,1
347,流眼泪,14
348,沉默,69
349,不语,6
350,说话,85
351,阴阳,10
352,怪气,8
353,脾气,24
354,反,11
355,旧,43
356,账,4
357,走过,71
358,路,169
359,忘,155
360,一定要,183
361,嫁给,19
362,爱情,300
363,治愈,47
364,这一次,19
365,成功,78
366,27天,10
367,也想,29
368,出人头地,2
369,偷,11
370,手机,133
371,竟然,81
372,一到,7
373,炎炎,4
374,想到,177
375,不知不觉,40
376,燃烧,8
377,十五年,3
378,全,107
379,天下,23
380,渣男,24
381,一个个,12
382,尤其,22
383,伤,45
384,胆子,1
385,加,61
386,号,22
387,就会,149
388,封,9
389,黑化,2
390,过后,8
391,不再,162
392,期待,139
393,还在,321
394,可爱,236
395,原,81
396,你那该死的温柔CJ,1
397,冷暴力,19
398,解决,28
399,问题,78
400,今日,21
401,推荐,69
402,第一首,28
403,大哭,463
404,gh,1
405,车上,21
406,很好听,123
407,姐姐,66
408,十几岁,7
409,多多,585
410,无语,26
411,22年7月份,1
412,该死,18
413,上次,48
414,小学,130
415,学习,66
416,努力,202
417,转身,30
418,不确定,7
419,过程,35
420,带来,30
421,快乐,319
422,伤害,73
423,比重,1
424,完整,15
