,key,value
0,最远,1
1,地方,8
2,平安,4
3,回家,4
4,回到,1
5,妈妈,6
6,身旁,1
7,父亲,3
8,烈士,1
9,重启,1
10,警号,1
11,干,3
12,缉毒警,1
13,任务,1
14,抓人,1
15,都是,28
16,这行,1
17,总,6
18,隐姓,1
19,埋名,1
20,几年,5
21,家,5
22,喜欢,91
23,七年,2
24,以前,16
25,在一起,9
26,全书,1
27,直,2
28,穿,7
29,一身,5
30,基佬,1
31,紫,1
32,大哭,17
33,32岁,1
34,许嵩,7
35,新,10
36,专辑,4
37,老夫,1
38,聊,2
39,少年,6
40,狂,2
41,主打,1
42,歌曲,4
43,老,18
44,古董,1
45,率先,1
46,上线,1
47,为主题,1
48,收录,1
49,包含,1
50,职业,2
51,医生,1
52,厨师,1
53,程序员,1
54,歌手,12
55,摄影师,1
56,微博,7
57,透露,1
58,久,7
59,择偶,1
60,标准,1
61,老伴,1
62,需要,1
63,玄学,1
64,问题,4
65,忘记,5
66,密码,1
67,一首,7
68,铁们,2
69,瞎编,1
70,毁灭,1
71,孕育,1
72,重生,3
73,神树,1
74,明明,6
75,有着,1
76,星系,1
77,陨落,1
78,般,2
79,荒芜感,1
80,澎湃,1
81,死而生,1
82,希望,23
83,降临,1
84,辰曦,1
85,携带,1
86,万顷,1
87,福祉,1
88,天角,1
89,倾泻,1
90,圣洁,1
91,肃穆,1
92,裹挟,1
93,罪与罚,1
94,禁忌感,1
95,想到,6
96,宫廷,1
97,礼乐,1
98,唱诗班,1
99,形容,3
100,这种,7
101,惊艳,2
102,宇宙感,1
103,一个人,19
104,思想,1
105,格局,1
106,实力,2
107,光速,1
108,成长,4
109,创作,4
110,简直,4
111,四维空间,1
112,三维,1
113,世界,11
114,投影,1
115,暗恋,2
116,男孩,3
117,摸,4
118,脸颊,1
119,体会,1
120,那种,5
121,仿佛,2
122,瞬间,3
123,螺旋,1
124,升天,1
125,喜悦,1
126,一起去,5
127,参加,2
128,同学,12
129,生日,1
130,party,1
131,站,4
132,角落,1
133,注意到,3
134,直接,1
135,跑,5
136,糊,1
137,脸丝,1
138,滑,1
139,奶油,1
140,双手,1
141,抹,1
142,脸上,1
143,大脑,1
144,死机,1
145,一个1米,2
146,女生,12
147,男孩子,7
148,弯,2
149,下腰,1
150,脸,3
151,快要,3
152,幸福,9
153,死,6
154,格聂神山,1
155,孩子,5
156,加油,6
157,拜,2
158,男生,13
159,少女,2
160,情怀,1
161,最大,4
162,梦想,3
163,生,5
164,小公主,1
165,打扮,2
166,漂漂亮,1
167,亮,1
168,小男孩,1
169,屁颠,2
170,追,5
171,女儿,2
172,异地恋金曲排行榜,1
173,第三名,1
174,花钱,1
175,大手,1
176,大脚,1
177,平时,2
178,一有钱,1
179,买,9
180,衣服,4
181,裤子,1
182,鞋子,1
183,演唱会,3
184,音乐节,1
185,门票,1
186,放假了,1
187,出去,3
188,旅游,1
189,平日,1
190,根本,3
191,存,2
192,钱,8
193,悄悄,1
194,告白,2
195,火车票,2
196,准备,3
197,回来,14
198,老侯,1
199,辽宁,1
200,我我,4
201,用尽,4
202,奔向,1
203,刚刚,4
204,车上,2
205,打开,9
206,网易云,7
207,这首歌,41
208,边上,2
209,女孩,12
210,歌单相,1
211,视一笑,1
212,竟然,2
213,脸红,1
214,歌呢歌名太长太难说了那就说前几个字吧我喜欢你,1
215,看见,8
216,柴静,1
217,采访,1
218,星爷,2
219,句,7
220,时间,14
221,谢谢,8
222,听得,1
223,瞬哭,1
224,回应,2
225,默默,7
226,拍,3
227,电影,5
228,怕,9
229,忘,6
230,可惜,6
231,这些年,1
232,越来越,5
233,少,4
234,对不起,5
235,抓,1
236,承认,4
237,爱,46
238,第一次,10
239,见到,2
240,爱上,5
241,有多爱好,1
242,多久,2
243,一千年,1
244,一万年,2
245,断,3
246,干净,5
247,和好,1
248,如初,1
249,关系,6
250,难受,4
251,厚着脸皮,1
252,羞没臊,1
253,另一个人,2
254,概率,1
255,一生,5
256,似,4
257,王菲,4
258,张悬,1
259,陈绮贞,1
260,陈粒,3
261,人潮,1
262,不知所措,1
263,身后,2
264,伸手,1
265,犯错缩手,1
266,错过,6
267,写给,1
268,黄淮,1
269,可能否,1
270,孤独她呀云烟成雨蜜蜂你是年少的欢喜纸短情长盗将行往后余生,1
271,距离,4
272,高考,8
273,119天,1
274,就像,10
275,白驹过隙,1
276,坚持,7
277,胜利,1
278,我希望,2
279,考,1
280,最喜欢,10
281,四川,1
282,静,2
283,太难,3
284,怪,3
285,有本事,1
286,本事,1
287,杨绛,1
288,义无反顾,2
289,撞,2
290,南,2
291,墙,1
292,黄粱一梦,1
293,空欢喜,1
294,一场,9
295,亲手,3
296,宠,2
297,女朋友,5
298,处,4
299,习惯,2
300,留白,1
301,处理,2
302,停顿,1
303,窒息感,1
304,空白,1
305,几秒,1
306,留给,2
307,听众,1
308,消化,1
309,情绪,6
