"","content","评论时段"
"1","不行啊！这歌也太让人快乐了！洗澡的时候我直接扭成龙卷风！！！","2020及以后"
"2","这派对也太危险了，男孩子在外面玩一定要好好保护自己[惊恐]","2020及以后"
"3","“右手托住你的心跳”怎么……托?","2020及以后"
"4","你说你大姨妈走了让我晚上去你家宝守灵这活哥真干不了啊","2020及以后"
"5","托住你的心跳这句可太高情商了","2020及以后"
"6","开头金润吉的那几句简直好听炸！！！！！！！！！！","早期"
"7","阿里郎这个名字起的俗，不然能火[大哭]是这样的吗","早期"
"8","有人问我思念到极致是什么感觉。我曾经发了句晚安给她，一晚上醒来六、七次看手机信息。就是那种可怕的朦朦胧胧的意识，梦里都梦到她好像回了我信息然后意识带我从梦境里挣扎出来立马去翻看手机。你看，这大概就是思念深入骨髓竟连梦境都不愿放过了吧。今天很冷，你现在怎么样呢？","2017-2019"
"9","今天2016年03月30号。这首歌会火！","早期"
"10","如果你刷到我愿你嫁给爱情","2020及以后"
"11","经常在夏天深夜出门散心。平缓流淌的街灯和温暖的晚风，被熟悉的气味和环境唤醒回忆，很容易让人安静下来。这首歌的概念起源于在东京台场遛弯，最后一句歌词写成于北京穿过五四大街面对北海的瞬间。感谢音乐和互联网让我们天涯共此时。很想知道听到这首歌的各位，此刻正走在哪里呢","2020及以后"
"12","乐队的第一部长篇「夏日黄昏三部曲」的终章。讲完了一段感情从「挽回」到「告别」再到「释然」的三个故事。最终也一个人去了约定要一起去看的花火大会。啊，没什么了不起的，只是觉得好热。","2020及以后"
"13","摇滚人是燃着温柔之火的极端浪漫主义者","2020及以后"
"14","分享欲就是赤裸裸的告白","2020及以后"
"15","夏天的歌还是得交给夏企","2020及以后"
"16","这个周末一起早起打扫卫生吧，我愿意洗床单，你只需要在旁边拆好你的快递，收拾干净后洗个香香的热水澡，然后趁着时间还早，追着晚风去吃一顿大餐。虽然已经度过了缠绵的热恋期，但我仍旧赞扬你是世界最美丽。","2020及以后"
"17","三十而粒，你写世界正中。在足够漫长的时光中解构出自己生活的艺术，拥有过锋利的漂亮，要温柔地和生活和解。想要热气腾腾的爱，在夏天傍晚，为爱再跌痛一次。祝你在人生中一直拥有悠长假期，做春天的梦，吹夏天的风，收获秋天的果实，申请冬天的雪。很多世俗，不必烦恼，而生命一直是一条流动的河。","2020及以后"
"18","感觉她又和小女孩谈恋爱了。","2020及以后"
"19","上次粉丝说想和二十岁的陈粒谈恋爱，她说“师傅我现在也还可以的。”嗯真的很可以","2020及以后"
"20","高考成绩估570出来600，真有我的，这波啊，这波爷在世界之中","2020及以后"
"21","我看的最远的地方就是，平安回家！回到妈妈的身旁。父亲是烈士，我重启父亲警号，干了缉毒警。每次出任务，每次抓人的时候，我都是对自己说，我干这行的，我知道怎么做。总要有人去做的嘛。隐姓埋名好几年了，我想家了。","2020及以后"
"22","祝各位考生高考大捷，和自己喜欢的人一起去那远方","2020及以后"
"23","演唱会的现场版已经被我听了无数次，在每次因考试成绩崩溃时，我都会翻出演唱会的视频再听一遍，想着一定要坚持下去。明天就要高考了，当昨天的我看到了，你要重新唱这首歌时我真的很想哭。我觉得一切都是冥冥之中的，冥冥之中自有天意，今天这首歌发布，而我明天就要高考。","2020及以后"
"24","考试前:看得最远的地方，考试后:像我这样的人","2020及以后"
"25","正在听歌的那位，没错就是你，你以后绝对会有出息真的！","2020及以后"
"26","手机铃声下载请发送短信到168xxxxxx[大哭]","早期"
"27","想当年坐在学校的围墙上唱这首歌，老牛逼了。后来墙塌了。","早期"
"28","该死的温柔，秋天不回来，香水有毒，不怕不怕，当时的神曲啊！！！","早期"
"29","那年从西安回武汉，在火车上面遇到一个漯河的女生，当时自己身上没有手机，女孩把自己的MP3借我听了一晚上，大晚上还在我肩膀上睡着了，走的时候我想问一个联系方式来着，但是最终还是没有说出口，我已经不记得女孩什么样子，但是一定很美，是这样的。","早期"
"30","感觉对马天宇的记忆除了这个古早的该死的温柔就直接跳到古剑奇谭了……中间这么多年去哪了？","早期"
"31","喜欢了她七年给她以前唱的歌现在我们在一起","2017-2019"
"32","曾经一首童话唱哭了多少早恋的人。","早期"
"33","听这些老歌就会发现好多同龄人，都是一群90初的小伙伴........真的好怀念那些年的过往，可是时间回不去了啊，有些人注定是我们人生的过客","早期"
"34","十年前，我听到这首歌时我还是小学生，当时听到只是觉得旋律好听，当时的我哪知道十年后我会听着这首歌趴在桌上流泪。","早期"
"35","一直很喜欢这句歌词：“也许你不会懂从你说爱我以后我的天空星星都亮了。""这大概就是遇到对的人后被爱的滋味。","早期"
"36","我是侯万军，我发誓这辈子一定要娶郝嘉璐，我会一点一点努力给她一个家.","2020及以后"
"37","侯万军，我想和你在一起很久很久，我爱你。","2020及以后"
"38","今天一出门，好冷，下意识掏出手机想叫你多穿点，才反应过来，没有身份了。","2020及以后"
"39","我宁愿相信妓院有处女也不相信爱情里有真情.","2020及以后"
"40","一群未成年故事比你爹都长的多.","2020及以后"
"41","其实这首歌是两个备胎被那个女孩伤心后决定在一起的故事","早期"
"42","两个备胎没追到女孩，居然还能欢乐地一起总结，也是醉了","早期"
"43","歌名应该是《那个女孩的备胎》","早期"
"44","她的身上有种淡淡的韭菜盒子香","早期"
"45","备胎还能唱的这么欢快。","早期"
"46","薛之谦：专辑你就不要买啦，网上都可以免费听，买了也没什么意义…许嵩：新专辑在各大平台都可以免费听，实体唱片的话可以不买阿…搞得跟是电视销售节目推销一样…海蝶音乐：我特么招谁惹谁了签了这俩败家玩意儿！[大哭][大哭]","早期"
"47","会写歌，能逗比，会做生意，能开店，人也帅。[色]","早期"
"48","Stayhere，很是意外，方圆几里一半是认真的雪，一半是黄色枫叶。突然我想起你了，我知道你都知道，为了遇见你，我甘愿做个绅士的演员，做个深深爱过你的丑八怪，不管世上有几个你，其实，我们爱过就好。你过的好吗只是句敷衍，我终于成了别人的女人，你还要我怎样。下雨了小孩，等我回家。","早期"
"49","薛之谦是个努力有梦想又帅的好歌手。快火起来","早期"
"50","薛之谦唱歌这么好听为什么不红[流感]","早期"
"51","全书最直的人穿一身基佬紫[大哭]","2017-2019"
"52","江厌离道：“你要跟我说什么事？”魏无羡笑道：“没什么事呀。我就进来打个滚。”说着，真的在地上打了个滚，江厌离问道：“羡羡，你几岁呀？”魏无羡道：“三岁啦。”","2017-2019"
"53","蓝二哥哥醉酒时wifi问：“江澄如何？”皱眉：“哼。”魏无羡：“温宁如何。”冷淡：“呵。”魏无羡笑眯眯指了指自己：“这个如何？”蓝忘机：“我的。”“……”蓝忘机盯着他，一字一顿，清晰无比地道：“我的。”","2017-2019"
"54","全书死了那么多人，哪怕是晓星辰，也留下了几缕魂魄残存，但是，若是论灰飞烟灭，恐怕只有温情阿姐了吧。","2017-2019"
"55","“是！蓝曦臣，我这一生，杀父杀兄杀妻杀子杀师杀友，什么坏事没做过！”他倒吸了一口气，仿佛肺部被刺穿，“可我独独没有想过要害你……”心疼瑶妹QAQ","2017-2019"
"56","忘记了拥抱，忘记了微笑，可我依旧忘不了你","2017-2019"
"57","白天可以原谅所有人，但晚上不行???","2017-2019"
"58","直到后来看到他恋爱的样子才知道自己没有被他爱过","2017-2019"
"59","十年前，他的房间门上贴着潘玮柏的海报，所以我跟着他学会了潘玮柏的每首歌。如今，我的房间门上贴着Sunnee的海报，他却不会再来陪我听歌了……我要忘记我们曾那么那么好，却忍不住来听这首歌……哥哥再见啊","2017-2019"
"60","这首歌很难唱，sunnee气息控制的很好，低沉的地方像在诉说着故事，高潮的部分像在宣泄着年少时的懵懂。这个版本让我感觉到了一个少女回忆初恋的感觉","2017-2019"
"61","因为慢半拍，一开始动心的人是你，结果越陷越深的是我。因为慢半拍，所以你走了，我还爱着你。有人说，慢热是怕被辜负，因为每一次都太全情投入。所以，如果你终究要离开我，请不要来爱我。毕竟，就连忘记，我都学得很慢。","2017-2019"
"62","我爱他，只是因为他是最好的薛之谦。说好一辈子，我先爱为敬！老薛生日快乐","2017-2019"
"63","什么叫重蹈覆辙？就是数年后在陌生的城市陌生的街道我依然一眼就能认出你的背影而我却发现没有理由去追也不必追。","2017-2019"
"64","两位对音乐纯粹追求的音乐人的第一首合作作品。慢半拍的老古董，天涯里自会相逢。??","2017-2019"
"65","一向慢半拍我也能在你发歌的时候准确到达","2017-2019"
"66","32岁许嵩新专辑《老夫聊发少年狂》主打歌曲《老古董》率先上线，专辑以“老”为主题，收录了包含许嵩的职业《老医生》《老厨师》《老程序员》《老歌手》《老摄影师》，微博透露已久的择偶标准《老伴需要D》，玄学问题《老忘记微博密码》和最后一首《老铁们是我瞎编的》。","2017-2019"
"67","2009年我初一你发了《自定义》2010年我初二你发了《寻雾启事》2011年我初三你发了《苏格拉没有底》2012年我高一你发了《梦游计》2014年我高三你发了《不如吃茶去》2016年我大二你发了《青年晚报》2018年我毕业你发了《老古董》嵩哥你真的是陪伴我一路青春的人。生日快乐?","2017-2019"
"68","为了一件满意的艺术品，整天埋头制作，日渐沧桑，蓄起了长发胡须，甚至徘徊在被逼疯的边缘。经过多次失败、推倒重来，终于一举成名。功成名就之后，剪掉长发，刮掉胡须，换上白色礼服走进博物馆，亲手摔碎老古董。因为，自己就是“老古董”","2017-2019"
"69","老古董他曾受万人追捧老古董说失传之前道声珍重老古董他今年32岁了可他什么都不懂，甚至连专辑抬价都不懂十二年，小古董们也都长大了已经过了听热闹的年纪小古董们什么都不懂，独独懂你终有一天，我们也会和你一样成为老古董","2017-2019"
"70","“音乐太主观了，懂的人自然懂你，不懂的人，我也没有试图让别人懂，一知半解我觉得是最可怕的，最好就是不懂就完全不懂，懂的人懂就很舒服了。”——许嵩","2017-2019"
"71","看到有粉丝给我说，想我10万?，我不是专业歌手，但被这么好的你们爱着，真是太！幸！福啦！哈哈哈调音师真棒，仙友太好啦[可爱]","2017-2019"
