"","content","评论时段"
"6","开头金润吉的那几句简直好听炸！！！！！！！！！！","早期"
"7","阿里郎这个名字起的俗，不然能火[大哭]是这样的吗","早期"
"9","今天2016年03月30号。这首歌会火！","早期"
"26","手机铃声下载请发送短信到168xxxxxx[大哭]","早期"
"27","想当年坐在学校的围墙上唱这首歌，老牛逼了。后来墙塌了。","早期"
"28","该死的温柔，秋天不回来，香水有毒，不怕不怕，当时的神曲啊！！！","早期"
"29","那年从西安回武汉，在火车上面遇到一个漯河的女生，当时自己身上没有手机，女孩把自己的MP3借我听了一晚上，大晚上还在我肩膀上睡着了，走的时候我想问一个联系方式来着，但是最终还是没有说出口，我已经不记得女孩什么样子，但是一定很美，是这样的。","早期"
"30","感觉对马天宇的记忆除了这个古早的该死的温柔就直接跳到古剑奇谭了……中间这么多年去哪了？","早期"
"32","曾经一首童话唱哭了多少早恋的人。","早期"
"33","听这些老歌就会发现好多同龄人，都是一群90初的小伙伴........真的好怀念那些年的过往，可是时间回不去了啊，有些人注定是我们人生的过客","早期"
"34","十年前，我听到这首歌时我还是小学生，当时听到只是觉得旋律好听，当时的我哪知道十年后我会听着这首歌趴在桌上流泪。","早期"
"35","一直很喜欢这句歌词：“也许你不会懂从你说爱我以后我的天空星星都亮了。""这大概就是遇到对的人后被爱的滋味。","早期"
"41","其实这首歌是两个备胎被那个女孩伤心后决定在一起的故事","早期"
"42","两个备胎没追到女孩，居然还能欢乐地一起总结，也是醉了","早期"
"43","歌名应该是《那个女孩的备胎》","早期"
"44","她的身上有种淡淡的韭菜盒子香","早期"
"45","备胎还能唱的这么欢快。","早期"
"46","薛之谦：专辑你就不要买啦，网上都可以免费听，买了也没什么意义…许嵩：新专辑在各大平台都可以免费听，实体唱片的话可以不买阿…搞得跟是电视销售节目推销一样…海蝶音乐：我特么招谁惹谁了签了这俩败家玩意儿！[大哭][大哭]","早期"
"47","会写歌，能逗比，会做生意，能开店，人也帅。[色]","早期"
"48","Stayhere，很是意外，方圆几里一半是认真的雪，一半是黄色枫叶。突然我想起你了，我知道你都知道，为了遇见你，我甘愿做个绅士的演员，做个深深爱过你的丑八怪，不管世上有几个你，其实，我们爱过就好。你过的好吗只是句敷衍，我终于成了别人的女人，你还要我怎样。下雨了小孩，等我回家。","早期"
"49","薛之谦是个努力有梦想又帅的好歌手。快火起来","早期"
"50","薛之谦唱歌这么好听为什么不红[流感]","早期"
"111","这个时候肯定都睡了没人给我点赞了，那么我来了，大家好，我是简弘亦，你们是我的男朋友和女朋友[奸笑]","早期"
"112","给我发过私信要求唱这首歌的男朋友和女朋友快来认领一下，高冷的我已经满足了你的愿望[圣诞]","早期"
"171","如果有妹子对我唱这首歌我一定娶她[牵手]","早期"
"172","谁说男生不可以有少女情怀呢？我最大的梦想是以后能生个小公主。我要把她打扮得漂漂亮亮的，看其他小男孩屁颠屁颠地追着我女儿跑。[大哭]","早期"
"173","我天词曲都是林一峰，他心里一定住着一个小公主","早期"
"174","王心凌的honey孙燕姿的honeyhoney萧亚轩的honeyhoneyhoney这三首歌都不错。","早期"
"175","异地恋金曲排行榜第三名。[大哭]","早期"
"181","我发现庾澄庆的声音和哈林好像！！！","早期"
"182","对着基友唱了一晚上，他怎么没反应，表达的不够直接吗？[呆][呆]","早期"
"183","每次通知栏显示赞了我评论我都要重温一遍这首歌。。。","早期"
"184","封面把鼠标都截进去了。。。","早期"
"185","初中喜欢这首歌，对同学说谁要是对我唱这首歌表白，我一定会答应的。结果真的有一个男生一直偷偷练这首歌。中考时他借了同学的P3，后来同学告诉我他一直单曲循环这首歌。后来的后来，他真的对我唱了这首歌，不过是喊我一起唱。如今，他还是单身，但我们是永远不可能了。再好的人，不适合也是枉然。","早期"
"187","整天评论就是，暗恋，热恋，绝恋，不像我清新脱俗，提前祝大家新年快乐。","早期"
"189","同样是过往华健大哥唱出了释怀和些许自嘲小刚的演绎版本却是内疚和无法忘怀同样精彩可能是先入为主这首歌还是喜欢周华健的版本[亲亲]","早期"
"190","小刚，李宗盛，都是才子，唱歌写歌都是一流","早期"
"191","记得第一封情书是上初二的时候。傻傻地我竟将收到的情书都交给了妈妈，而我妈并没有去找这些孩子的家长或老师，而是把它们保存了下来……特别感谢我妈，也特别感激那些个小屁孩儿，谢谢他们在最初情窦初开的年华里，曾经喜欢过那么傻的一个傻姑娘，给她的一生留下了如此纯洁美好的回忆。","早期"
"192","今天坐电梯，电梯上一个人打开一包巧克力，每个人分一个，没给我，我就伸手要了一个，他愣了一会给了我一个，到了5楼，他们都下了，我才知道他们原来都认识，哎呀卧槽！我竟然伸手要了一个！[呆]","早期"
"193","妈的，没写过情书的举手","早期"
"194","找不到人表白了，祖国我爱你！","早期"
"195","看着你们一个个秀情书...我又默默的捧起了我的英语书...[口罩]","早期"
"201","曾经赌气的和他分手，后来觉得自己有点任性，隔空的放了这首歌给他，结果，他又回来了，我问他，你肿么又回来了，他说他是球，滚来滚去的，让滚就滚，让滚回来就滚回来，[大哭]那时候的爱就是这样简单。。","早期"
"202","这个歌就像一个做错事的小孩子一只手抹着哭出来的鼻涕，一只手死死地拉着对方，楚楚可怜的唱给对方","早期"
