"","ip","x"
"25","广东",9663
"32","河南",5609
"61","山东",5539
"41","江苏",5508
"81","浙江",5066
"65","四川",4530
"36","湖南",3799
"35","湖北",3195
"31","河北",3173
"6","安徽",3148
"22","福建",2806
"63","陕西",2793
"80","云南",2641
"26","广西",2567
"42","江西",2528
"75","新疆",2381
"44","辽宁",2310
"13","北京",2178
"64","上海",1994
"87","重庆",1898
"27","贵州",1585
"34","黑龙江",1456
"68","天津",1333
"62","山西",1319
"51","内蒙古",1203
"37","吉林",1190
"23","甘肃",965
"29","海南",514
"53","宁夏",436
"56","青海",380
"72","西藏",156
"47","美国",142
"66","泰国",102
"70","未知",93
"1","",86
"79","英国",84
"86","中国香港",73
"39","加拿大",62
"8","澳大利亚",50
"46","马来西亚",42
"83","中国",40
"85","中国台湾",40
"57","日本",39
"84","中国澳门",35
"30","韩国",26
"71","西班牙",26
"74","新加坡",25
"18","俄罗斯",14
"77","意大利",12
"17","德国",9
"40","柬埔寨",7
"76","新西兰",6
"48","缅甸",5
"11","白俄罗斯",4
"20","菲律宾",4
"33","荷兰",4
"19","法国",3
"28","哈萨克斯坦",3
"55","葡萄牙",3
"58","瑞士",3
"82","智利",3
"3","阿联酋",2
"12","保加利亚",2
"15","波兰",2
"24","刚果民主共和国",2
"50","南非",2
"54","挪威",2
"78","印度尼西亚",2
"2","阿尔及利亚",1
"4","埃及",1
"5","爱尔兰",1
"7","奥地利",1
"9","巴拿马",1
"10","巴西",1
"14","比利时",1
"16","丹麦",1
"21","芬兰",1
"38","几内亚",1
"43","津巴布韦",1
"45","马耳他",1
"49","摩尔多瓦",1
"52","尼日利亚",1
"59","塞尔维亚",1
"60","沙特阿拉伯",1
"67","坦桑尼亚",1
"69","瓦努阿图",1
"73","希腊",1
