"","likedcount","replycount"
"1",95696,1688
"2",68626,468
"3",61605,2304
"4",44294,629
"5",37328,221
"6",27461,134
"7",18958,209
"8",16670,322
"9",13078,1603
"10",9039,312
"11",19374,758
"12",11944,266
"13",9620,44
"14",6360,158
"15",4986,31
"16",8802,93
"17",8766,66
"18",7657,364
"19",6393,45
"20",3319,140
"21",16046,2573
"22",11943,83
"23",10640,756
"24",5599,73
"25",5163,354
"26",64301,305
"27",50922,215
"28",41571,337
"29",33136,189
"30",30557,234
"31",57705,1308
"32",44144,1861
"33",37008,1296
"34",19488,197
"35",13517,92
"36",82916,5009
"37",73044,2894
"38",22003,262
"39",17608,474
"40",16206,742
"41",39666,153
"42",33232,157
"43",13136,27
"44",10496,96
"45",8108,12
"46",245340,814
"47",204305,1092
"48",127831,199
"49",85152,729
"50",65857,1429
"51",307930,1619
"52",191291,354
"53",161331,539
"54",141098,582
"55",113240,379
"56",32976,348
"57",23892,183
"58",14597,246
"59",12876,320
"60",10853,194
"61",208813,742
"62",93790,1108
"63",88034,1445
"64",83106,792
"65",43872,112
"66",65797,224
"67",57384,278
"68",23858,24
"69",21896,34
"70",17485,32
"71",90634,2956
"72",47212,842
"74",15745,50
"75",14920,359
"76",29317,92
"77",27051,180
"78",13530,65
"79",12108,25
"80",11517,868
"81",92458,1353
"82",67269,871
"83",52641,1280
"84",24626,117
"85",22595,127
"86",297929,2438
"87",222383,1856
"88",166228,1681
"89",111218,1067
"90",73836,209
"91",77271,423
"92",77182,1506
"93",49793,465
"94",43016,239
"95",30669,85
"96",51040,355
"97",39848,206
"98",28006,232
"99",22127,119
"100",18130,58
"101",41422,898
"103",23511,216
"104",19054,223
"105",18404,134
"106",204055,3650
"107",191039,2866
"108",139831,5528
"109",90678,335
"110",89538,200
"111",263321,570
"112",190329,239
"113",112830,500
"114",78524,200
"115",60298,92
"116",150838,1045
"117",118503,835
"118",61855,272
"119",48328,496
"120",42334,487
"121",48323,619
"122",36467,448
"123",26248,181
"124",21170,680
"125",20230,399
"126",344708,2624
"127",291190,2928
"128",128659,1789
"129",80616,1299
"130",48060,986
"131",338182,5647
"132",190413,1630
"133",176756,1682
"134",57172,1041
"135",46093,1427
"136",289351,2413
"137",257326,1948
"138",202233,4486
"139",133744,2045
"140",117885,1691
"141",152786,1331
"142",101857,3293
"143",77392,1240
"144",58472,504
"145",52786,1141
"146",18942,1169
"147",17822,379
"148",16144,1894
"149",12869,582
"150",12169,243
"151",247797,7778
"152",170801,1827
"153",110977,1787
"154",70632,2924
"155",63905,304
