,userid,commentid,username,content,timeStr,likedcount,hug,replycount
0,1894471710,5905868958,银雾1906,6,3分钟前,0,FALSE,0
1,6413620741,5905772200,摆烂的旅行者啊,有没有看过散兵和流浪者一起跳的。越看越涩,9:32,0,FALSE,0
2,3811137102,5905769848,理想超sky,让我想起了优拉跳舞的画面[18],9:25,1,FALSE,0
3,8558486705,5905764073,许雨-1,是我们没有挺过去别怪时间更别说不适合.,9:11,0,FALSE,0
4,1690241045,5905747468,就把他打死吧,音乐合伙人,8:20,0,FALSE,0
5,8554433280,5905685557,倩倩_urAL,，真心找个男朋友dd,2:04,0,FALSE,0
6,5200270111,5905616704,-Aiule-,大家好，我的宝贝7月9号要过生日，我想征集各地的祝福，给她一个惊喜，麻烦你们用这种格式，“我在xx省祝张芮铭生日快乐”回复我可以吗，求大家帮个忙，谢谢啦！希望收到大家的祝福～求求求各位,0:04,0,FALSE,0
7,3397006113,5905508920,平安_0707,h3r3,昨天21:17,1,FALSE,0
8,2027401838,5905487982,尴尬_UR9G,好听,昨天20:41,1,FALSE,0
9,2027401838,5905482441,尴尬_UR9G,不，不怕,昨天20:35,1,FALSE,0
10,1827583015,5905476853,枫天机雨,把左手把右手大拇指→往这划←大拇指放这里放这里,昨天20:20,1,FALSE,0
11,397941244,5905275095,Tomoyao,就说好像听过，原来第一次听是牛爷爷和胡英俊跳舞的视频?,昨天11:01,0,FALSE,0
12,282407011,5905240452,水贯裕鎮,危险♂派对,昨天09:02,0,FALSE,0
13,7893162236,5905163770,Souris_baby,满脑子都是两个3d模型在跳舞,昨天00:58,2,FALSE,0
14,8188652581,5905155139,陆少桥,互关！互关！互关！重要的事说三遍！你关我回,昨天00:42,3,FALSE,0
0,5123925093,5905789311,明星甲,早安小旭[多多比耶],10:15,0,FALSE,0
1,1428235206,5905773332,xxxx_ormA,血液相融永存寒冬,9:39,0,FALSE,0
2,1816314503,5905532625,秋刀魚永不會過期-,这首歌我就不收藏也不下载了，每当有一个人给我点赞我就回来听一次，就当做是给自己的惊喜吧,昨天22:06,6,FALSE,0
3,8556115345,5905508150,#NAME?,我以为我们都活在回忆里直到你的身边又出现新的人我发现原来只有我活在回忆里,昨天21:19,1,FALSE,0
4,8556115345,5905506306,#NAME?,我以为我们都活在回忆里直到你的身边又出现新的人我发现原来只有我活在回忆里,昨天21:16,1,FALSE,0
5,8269670138,5905476909,欣祎颜,想d一个一起听歌的,昨天20:21,0,FALSE,0
6,5196920731,5905475970,许碎01,这个世界就是这样有人追你千辛万苦你不领情有人还什么都没为你做你却句句我愿意,昨天20:18,1,FALSE,0
7,5196920731,5905475087,许碎01,天气忽冷忽热我们的关系也是,昨天20:18,1,FALSE,0
8,5196920731,5905472677,许碎01,没什么好说的你的世界不会再出现我的痕迹,昨天20:18,1,FALSE,0
9,5196920731,5905473633,许碎01,我总说顺其自然吧可真的顺其自然吗里面有我的无奈有我的不舍我的不甘,昨天20:18,0,FALSE,0
10,5196920731,5905473613,许碎01,当有人懂我的时候那我会破碎的,昨天20:17,0,FALSE,0
11,5196920731,5905475824,许碎01,失去是相互的可难过不是,昨天20:17,1,FALSE,0
12,5196920731,5905474131,许碎01,答案会写在态度里,昨天20:16,0,FALSE,0
13,5196920731,5905470617,许碎01,希望你下辈子不要改名让我好找点,昨天20:15,0,FALSE,0
14,3380956583,5905197941,11_zyx,你记不记得跨年那天我们127点的电话记不记得你2月22那天过的话你说我是小学生也是小公主也是你的老婆大人哈哈哈我真的开心了好久，可是今年的生日你还没有陪我过啊你怎么就那么冷漠！！,昨天03:37,0,FALSE,0
0,1569357451,5905743924,我可以吃盐酥鸡,五月像被励了志，我就这样平静的接受了自己的失败。我记得好多个凌晨三点半头顶的灯光，窗外吹进来的风好冷，我记得咖啡喝了好多好多。此刻记住就好，生活还得向前，大不了下次重头再来。,7:58,2,FALSE,0
1,1883090094,5905668757,csirr_,张澍拥有一整个盛夏,1:08,1,FALSE,0
2,647657751,5905454734,熊z崽,因为我就只有你了，我没有那么多可以倾诉倒垃圾的对象，我的微信不像你一样随时都有人聊天，我不主动找别人聊天的话我死掉都不会有人知道，遇到什么事我就只能自己一个人消化，我只能一直缠着你粘着你希望你什么都告诉我希望你干什么都可以告诉我，如果让你觉得难缠麻烦了，那起码也不要恨我。,昨天19:30,3,FALSE,0
3,1688540664,5905430149,废白余烬,这个夏天的愿望就是成为你夏日意外的那个可能,昨天18:40,1,FALSE,0
4,267067287,5905309765,二区有个吴大师,嘴一个,昨天12:46,0,FALSE,0
5,1441797512,5905243946,十一点_TAlH,听着歌时，我在园区里向外望去，街灯，夜景，还有夏日夜晚的凉意，同事走来问我在干嘛，我只说站会，我这份平静又有点落寞独自享受音乐的心情，她不会懂吧。,昨天09:00,1,FALSE,0
6,641977056,5905236347,哈阿嘿,我朋友说，“但凡她有一点喜欢你，有可能喜欢你，有机会喜欢你，我都不会这么劝你。”,昨天08:47,3,FALSE,0
7,135504395,5905175409,ycc是我的精神寄托,想跟她在520那天去看复合吧前任，可是不敢对她说。真的好想她，好爱她。,昨天01:36,0,FALSE,0
8,2101886933,5904974962,Came11iaqua,希望你好起来,2天前,2,FALSE,0
9,475053123,5904712302,女子清嘉,我又恋爱啦[钟情][星星][亲亲],2天前,1,FALSE,0
10,3245979696,5904564320,阿巴阿巴_nlgm,睁开眼，看见风正穿林而过,3天前,1,FALSE,0
11,1889760713,5903194803,所念皆至安_,以你为名的夏天,5天前,5,FALSE,1
12,1941918841,5903056058,不矢落,澍,6天前,4,FALSE,0
13,428157965,5902914836,浙洵,[强],6天前,0,FALSE,0
