,key,value
0,黑胶,113
1,私我,20
2,免费,43
3,七天,70
4,cpdd,21
5,桥牌,587
6,谎言,657
7,意思,347
8,不知道,765
9,假装,79
10,在乎,150
11,样子,220
12,难受,208
13,冷,3385
14,抽,1179
15,电子,980
16,烟,1436
17,瑞克,427
18,电,679
19,雪豹,761
20,失,299
21,联,274
22,摘不下,290
23,虚伪,319
24,假面,300
25,几句,334
26,胡言,260
27,奉,265
28,圣箴,237
29,尝,276
30,一口,284
31,血汗,252
32,香甜,257
33,钱,371
34,飘,655
35,进,956
36,双眼,837
37,模糊,547
38,做人,274
39,底线,268
40,瞻仰,1
41,新四大天王,20
42,天趴,1
43,理,191
44,远,2086
45,趴,23
46,靠近,1951
47,一点,2397
48,入土,4
49,大哭,830
50,fallin4u,169
51,大笑,592
52,玩意,185
53,dz,3
54,布莱克,1
55,格,2
56,雪,4729
57,悲,30
58,锐克,207
59,电流,25
60,泪,116
61,流泪,3123
62,抖,243
63,音,255
64,游戏,99
65,广告,25
66,而来,20
67,很好听,343
68,双肩,6
69,突起,1
70,难听,567
71,还行,138
72,西西,246
73,呕吐,89
74,流汗,49
75,狗屁,11
76,玩,252
77,意额,1
78,谢谢,265
79,开口,44
80,妹妹,41
81,贴,25
82,上来,33
83,感谢,99
84,capper,1451
85,快乐,332
86,源泉,2
87,呲牙,181
88,悦刻,44
89,cxk,1
90,顶针,62
91,泰裤,2318
92,辣,2216
93,一批,20
94,还不错,76
95,必要,185
96,跟风,214
97,黑,320
98,舔,145
99,狗,232
100,爱听,291
101,雾,32
102,这首歌,2
103,真,444
104,哭,1066
105,死,527
106,戳,46
107,集美们,9
108,听雪,112
109,件,150
110,事情,369
111,雪飘进双眼看不见你桥牌的谎言抒情吟唱,1
112,蛋仔,74
113,666,70
114,故事,295
115,结局,206
116,很重要,38
117,B站,8
118,寒,9
119,羽,1
120,胡桃版,1
121,一句话,104
122,想说,142
123,遮遮,1
124,布隆,1
125,看看,401
126,是不是,512
127,酷,140
128,女大学生,28
129,请,267
130,加,416
131,喜欢,4838
132,好奇怪,45
133,语气,15
134,不对,51
135,道歉,43
136,泰酷辣,368
137,记住,99
138,一说,28
139,天上,18
140,飞,52
141,wave,1
142,好多,192
143,哀伤,145
144,拿出,147
145,诞生,157
146,1996,140
147,阁下,236
148,应对,211
149,评价,218
150,distance,488
151,烟色,3
152,破,179
153,长,291
154,不难,6
155,讲,173
156,四,56
157,字,303
158,概括,5
159,毫无意义,7
160,emo,179
161,一整天,34
162,可惜,277
163,手机,190
164,失联,299
165,十级,15
166,说好听,4
167,好听,4305
168,个人,203
169,看法,22
170,罢,109
171,care,4
172,反正,134
173,活,190
174,算,272
175,呆,119
176,抄袭,633
177,7,4
178,初三,19
179,伤感,75
180,宝宝,307
181,超级,190
182,站,170
183,岔路口,1
184,回不去了我希望,1
185,你好,157
186,希望,1243
187,心想事成,6
188,幸福,752
189,身边,398
190,接受,136
191,看不到,96
192,条,103
193,都会,337
194,心,765
195,碎,113
196,爱,3326
197,乖乖,43
198,小狗,158
199,前面,144
200,意外,35
201,拉,361
202,华语,201
203,乐坛,166
204,已死,9
205,恋爱,229
206,能不能,554
207,念,67
208,清楚,198
209,一坨,206
210,答辩,1278
211,多多,1499
212,瞌睡,26
213,举报,15
214,没了,65
215,换,229
216,种,38
217,说法,7
218,斯,1
219,认,17
220,晚安,241
221,喝醉,8
222,明白,214
223,感触,10
224,榜,94
225,曲,58
226,曲词,1
227,一半,45
228,好人,8
229,芝士雪豹一眼骆驼鉴定,1
230,瘤子,183
231,单曲,347
232,循环,703
233,奇,8
234,怪,133
235,肩膀,256
236,痒痒,1
237,感觉,1635
238,有点,391
239,赶工,1
240,完成,27
241,度,7
242,差,93
243,点,660
244,写,766
245,为啥,178
246,骂,485
247,凶,7
248,美,135
249,热,326
250,夏天,406
251,紫外线,1
252,照不透,1
253,鬼脸,87
254,半夜,35
255,区,333
256,整笑,1
257,不耐听,2
258,雪yue,37
259,鸦胶,1
260,挺,727
261,天别离,1244
262,便便,110
263,听过,11
264,吐,108
265,刚刚好,3
266,呃10w,1
267,高低,31
268,贵贱,16
269,10w,103
270,属实,9
271,难,265
272,评,65
273,low,15
